ID,disableParam_NT,disableParamReserve1,disableParamReserve2,sortId,wanderingEquipId,resistSleep,resistMadness,saDurability,toughnessCorrectRate,fixPrice,basicPrice,sellValue,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,materialSetId,partsDamageRate,corectSARecover,originEquipPro,originEquipPro1,originEquipPro2,originEquipPro3,originEquipPro4,originEquipPro5,originEquipPro6,originEquipPro7,originEquipPro8,originEquipPro9,originEquipPro10,originEquipPro11,originEquipPro12,originEquipPro13,originEquipPro14,originEquipPro15,faceScaleM_ScaleX,faceScaleM_ScaleZ,faceScaleM_MaxX,faceScaleM_MaxZ,faceScaleF_ScaleX,faceScaleF_ScaleZ,faceScaleF_MaxX,faceScaleF_MaxZ,qwcId,equipModelId,iconIdM,iconIdF,knockBack,knockbackBounceRate,durability,durabilityMax,pad03,defFlickPower,defensePhysics,defenseMagic,defenseFire,defenseThunder,defenseSlash,defenseBlow,defenseThrust,resistPoison,resistDisease,resistBlood,resistCurse,reinforceTypeId,trophySGradeId,shopLv,knockbackParamId,flickDamageCutRate,equipModelCategory,equipModelGender,protectorCategory,rarity,sortGroupId,partsDmgType,pad04,isDeposit,headEquip,bodyEquip,armEquip,legEquip,useFaceScale,isSkipWeakDamageAnim,pad06,defenseMaterialVariationValue_Weak,autoFootEffectDecalBaseId2,autoFootEffectDecalBaseId3,defenseMaterialVariationValue,isDiscard,isDrop,disableMultiDropShare,simpleModelForDlc,showLogCondType,showDialogCondType,pad,neutralDamageCutRate,slashDamageCutRate,blowDamageCutRate,thrustDamageCutRate,magicDamageCutRate,fireDamageCutRate,thunderDamageCutRate,defenseMaterialSfx1,defenseMaterialSfx_Weak1,defenseMaterial1,defenseMaterial_Weak1,defenseMaterialSfx2,defenseMaterialSfx_Weak2,footMaterialSe,defenseMaterial_Weak2,autoFootEffectDecalBaseId1,toughnessDamageCutRate,toughnessRecoverCorrection,darkDamageCutRate,defenseDark,invisibleFlag48,invisibleFlag49,invisibleFlag50,invisibleFlag51,invisibleFlag52,invisibleFlag53,invisibleFlag54,invisibleFlag55,invisibleFlag56,invisibleFlag57,invisibleFlag58,invisibleFlag59,invisibleFlag60,invisibleFlag61,invisibleFlag62,invisibleFlag63,invisibleFlag64,invisibleFlag65,invisibleFlag66,invisibleFlag67,invisibleFlag68,invisibleFlag69,invisibleFlag70,invisibleFlag71,invisibleFlag72,invisibleFlag73,invisibleFlag74,invisibleFlag75,invisibleFlag76,invisibleFlag77,invisibleFlag78,invisibleFlag79,invisibleFlag80,padbit,postureControlId,pad2,saleValue,resistFreeze,invisibleFlag_SexVer00,invisibleFlag_SexVer01,invisibleFlag_SexVer02,invisibleFlag_SexVer03,invisibleFlag_SexVer04,invisibleFlag_SexVer05,invisibleFlag_SexVer06,invisibleFlag_SexVer07,invisibleFlag_SexVer08,invisibleFlag_SexVer09,invisibleFlag_SexVer10,invisibleFlag_SexVer11,invisibleFlag_SexVer12,invisibleFlag_SexVer13,invisibleFlag_SexVer14,invisibleFlag_SexVer15,invisibleFlag_SexVer16,invisibleFlag_SexVer17,invisibleFlag_SexVer18,invisibleFlag_SexVer19,invisibleFlag_SexVer20,invisibleFlag_SexVer21,invisibleFlag_SexVer22,invisibleFlag_SexVer23,invisibleFlag_SexVer24,invisibleFlag_SexVer25,invisibleFlag_SexVer26,invisibleFlag_SexVer27,invisibleFlag_SexVer28,invisibleFlag_SexVer29,invisibleFlag_SexVer30,invisibleFlag_SexVer31,invisibleFlag_SexVer32,invisibleFlag_SexVer33,invisibleFlag_SexVer34,invisibleFlag_SexVer35,invisibleFlag_SexVer36,invisibleFlag_SexVer37,invisibleFlag_SexVer38,invisibleFlag_SexVer39,invisibleFlag_SexVer40,invisibleFlag_SexVer41,invisibleFlag_SexVer42,invisibleFlag_SexVer43,invisibleFlag_SexVer44,invisibleFlag_SexVer45,invisibleFlag_SexVer46,invisibleFlag_SexVer47,invisibleFlag_SexVer48,invisibleFlag_SexVer49,invisibleFlag_SexVer50,invisibleFlag_SexVer51,invisibleFlag_SexVer52,invisibleFlag_SexVer53,invisibleFlag_SexVer54,invisibleFlag_SexVer55,invisibleFlag_SexVer56,invisibleFlag_SexVer57,invisibleFlag_SexVer58,invisibleFlag_SexVer59,invisibleFlag_SexVer60,invisibleFlag_SexVer61,invisibleFlag_SexVer62,invisibleFlag_SexVer63,invisibleFlag_SexVer64,invisibleFlag_SexVer65,invisibleFlag_SexVer66,invisibleFlag_SexVer67,invisibleFlag_SexVer68,invisibleFlag_SexVer69,invisibleFlag_SexVer70,invisibleFlag_SexVer71,invisibleFlag_SexVer72,invisibleFlag_SexVer73,invisibleFlag_SexVer74,invisibleFlag_SexVer75,invisibleFlag_SexVer76,invisibleFlag_SexVer77,invisibleFlag_SexVer78,invisibleFlag_SexVer79,invisibleFlag_SexVer80,invisibleFlag_SexVer81,invisibleFlag_SexVer82,invisibleFlag_SexVer83,invisibleFlag_SexVer84,invisibleFlag_SexVer85,invisibleFlag_SexVer86,invisibleFlag_SexVer87,invisibleFlag_SexVer88,invisibleFlag_SexVer89,invisibleFlag_SexVer90,invisibleFlag_SexVer91,invisibleFlag_SexVer92,invisibleFlag_SexVer93,invisibleFlag_SexVer94,invisibleFlag_SexVer95,pad404
2000,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2100,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2200,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2300,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2400,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2500,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2600,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2700,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2800,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2900,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,1,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3000,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3100,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,6,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3200,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,2,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3300,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,4,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3400,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,5,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3500,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,7,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3600,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,8,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3700,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,3,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3800,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,9,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3900,0,0,System.Byte[],99999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,10,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,4,2,4,0,255,0,System.Byte[],0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,139,139,139,139,139,139,139,139,-1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
